K,m,silhouette,inertia,calinski_harabasz
8,20,0.21229686864550879,99166.17357116636,557.0358433193339
10,20,0.21482593618501378,93010.3121372294,501.6198049533184
12,20,0.21885849317584724,79529.53066601606,563.3122137906335
14,20,0.21424228578963558,73471.38927433162,550.1195439138768
16,20,0.20065114730199826,68283.93647498211,540.227047386992
18,20,0.24868317115162283,61008.18037229134,571.2926732577787
20,20,0.24114981940425845,56166.157025828536,579.5691524716511
22,20,0.2456884604323918,50897.39082645273,605.1039825311159
24,20,0.24314617091294638,48743.164539541955,587.0790858811218
26,20,0.14410985629417025,45999.829334154514,585.0064521043432
28,20,0.17966659640513874,42010.83246574243,611.8881795108069
30,20,0.1803411104530706,39963.26814359252,608.1964305529743
32,20,0.1791158675153331,38622.10699739901,594.5455316600206
34,20,0.18276516350870547,36364.25441076728,603.1260807188405
36,20,0.1734639097844986,35719.50843167883,581.4953080669529
38,20,0.20068504747076482,32206.608688288856,625.7302476088448
40,20,0.19424940214218817,31222.58878815161,616.4800340997213
42,20,0.18922095447024606,29728.709786642205,622.2527469057587
44,20,0.1896543596458616,29125.950243945037,607.9567140997647
46,20,0.18586207902528531,28252.099439480662,602.3839680924576
48,20,0.18963544021569972,27276.150514989455,601.2622713708108
50,20,0.1917290581801729,26479.264042984287,597.1614816410386
4,25,0.6500948667589093,134893.78033929644,599.5153127289965
6,25,0.21402094347782116,116559.79700435649,586.7985670097376
8,25,0.19287107360586325,105413.648742251,545.2081214451791
10,25,0.1795467633203796,96880.8430427691,514.278463584706
12,25,0.18507918050188218,90829.93469703916,481.4569790431354
14,25,0.1831579594569752,84419.23375512112,469.80410918491106
16,25,0.17877719844474682,78620.31598770051,463.6604897425698
18,25,0.20573492778861396,69592.97202295542,503.31322120648883
20,25,0.14189973160485678,65280.13947392405,498.7270588907919
22,25,0.227779854530644,59419.49907815768,520.9519428075394
24,25,0.23152695678240623,57106.890320440936,504.2506417398187
26,25,0.22531750147019017,52946.96012021897,517.1603567168428
28,25,0.23660705694677184,48854.778293948984,535.5315848262171
30,25,0.23710070201969208,46678.43353380886,530.3353110052864
32,25,0.2453603798674298,44972.13459694888,521.3607590879041
34,25,0.1890121538347279,42540.362137000026,526.9188611236005
36,25,0.2032444223389981,41124.52108920277,519.0280242174161
38,25,0.18323339760676208,39093.266676405285,523.8649212241855
40,25,0.18377830921634095,37838.38793795265,517.8765309961095
42,25,0.18230198057374092,36567.482415271734,514.1141727638011
44,25,0.17717296795360765,35427.40535877003,509.82068365475715
46,25,0.17792158570257527,33954.90312575407,513.2892571864663
48,25,0.1818719587078682,33009.812134596665,508.6094463431779
50,25,0.18495094215875998,31594.610186794227,514.4309859301959
4,30,0.2646639935386456,145579.18290954593,477.6946828722674
6,30,0.1857651590973269,122743.13143185378,541.6738971662604
8,30,0.20098953989209192,117087.1681273905,442.87338589944704
10,30,0.2012048932049123,105559.04035401906,447.71532134282324
12,30,0.2007472210761382,96889.64304706223,443.02151643186613
14,30,0.19718584828511085,85752.97804760188,477.5068414613372
16,30,0.20202314251380227,78824.50644992455,481.7800133393386
18,30,0.19766658483188573,74554.56359712924,467.5163622251933
20,30,0.2046211912426954,70673.30684761547,456.75409207317927
22,30,0.21902840054005,63960.55438811208,483.4887445038184
24,30,0.24063866003218998,59932.523010586105,486.7413868847828
26,30,0.24433872231813308,55797.75250160361,496.82858652416735
28,30,0.20596635086713694,53768.4331327443,484.7649197345385
30,30,0.18730433797674342,50337.89885088287,494.6050906455469
32,30,0.19105565975579958,48784.22293321187,482.8008386725973
34,30,0.1549519182813199,46834.019547446216,479.06088200227487
36,30,0.16337999539075848,43935.849121853724,491.4705698301717
38,30,0.1695584868005285,42030.43734223297,492.40841663012367
40,30,0.17134864223489107,40654.22873486264,487.4707456365408
42,30,0.18270413142953118,39277.14430224059,484.3789784735743
44,30,0.18303742014550642,38860.83035455682,467.9669654323217
46,30,0.18658626614355944,37964.225552793236,460.3849602087382
48,30,0.19205141457924763,35963.97088954322,471.5075225452477
50,30,0.19427095154782872,34551.70924493693,475.06173828279725
