Food_Name,PC1,PC2,cluster
"Infant formula, Enfamil Infant, powder, made with tap water",-1.160908010385796,-0.03683950187326254,6
"Infant formula, Enfamil Infant, powder, made with bottled water",-1.1506496441308256,-0.03153532148875009,6
"Infant formula, Enfamil Infant, powder, made with baby water",-1.176368259889273,-0.05155901385321806,6
"Infant formula, Enfamil AR, ready-to-feed",-1.2136975703841582,-0.08519887732865726,6
"Infant formula, Enfamil AR, powder, made with water",-1.2136975703841582,-0.08519887732865726,6
"Infant formula, Enfamil Gentlease, ready-to-feed",-1.1974638604002308,-0.08240053713605773,6
"Infant formula, Enfamil Gentlease, powder, made with tap water",-1.182003610896754,-0.06768102515610222,6
"Infant formula, Enfamil Gentlease, powder, made with bottled water",-1.1717452446417833,-0.062376844771589765,6
"Infant formula, Enfamil Gentlease, powder, made with baby water",-1.1974638604002308,-0.08240053713605773,6
"Toddler formula, Enfamil Enfagrow",-1.025485647273211,0.06776972445062034,6
"Toddler formula, PediaSure",0.3486027516352975,0.026042485716949004,6
"Toddler formula, Nido Kinder",-1.0504650901695118,0.04201758755971176,6
"Toddler formula, store brand, beginning or next stage",-1.0504650901695118,0.04201758755971176,6
"Toddler formula, store brand, pediatric shake",0.3486027516352975,0.026042485716949004,6
"Infant formula, Gerber, NFS",-1.216433143546621,-0.07920425320353666,6
"Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed",-1.2315211088215174,-0.10082319891968368,6
"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water",-1.2217744666267323,-0.09024758347928534,6
"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water",-1.211246025852604,-0.08390726614729853,6
"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water",-1.2315211088215174,-0.10082319891968368,6
"Infant formula, Gerber Good Start Gentle, Stage 2",-1.2315211088215174,-0.10082319891968368,6
"Toddler formula, Gerber Good Start, Stage 3",-1.0504650901695118,0.04201758755971176,6
"Infant formula, premature, powder, made with water",-0.669956778383587,0.07141193702853128,6
"Infant formula, premature, ready-to-feed",-0.669956778383587,0.07141193702853128,6
"Infant formula, organic, powder, made with water",-1.203929944903462,-0.07948335204790759,6
"Infant formula, organic, ready-to-feed",-1.203929944903462,-0.07948335204790759,6
"Infant formula, store brand, advantage or tender, powder, made with tap water",-1.1884696953999851,-0.06476384006795208,6
"Infant formula, store brand, advantage or tender, powder, made with bottled water",-1.1833835616897515,-0.06267692371836318,6
"Infant formula, store brand, advantage or tender, powder, made with baby water",-1.203929944903462,-0.07948335204790759,6
"Infant formula, store brand, gentle or sensitivity",-1.1894951653109898,-0.06829434467035637,6
"Infant formula, store brand, added rice",-1.2043388770389691,-0.08146925367848105,6
"Infant formula, Enfamil ProSobee, ready-to-feed",-1.1744139522506587,-0.011507377547763502,6
