Food_Name,PC1,PC2,cluster
"Milk shake, bottled, flavors other than chocolate",-0.523050033313182,-1.4403798425101912,1
Licuado or Batido,-2.6843643978810743,-0.31927929993319487,1
"Fruit smoothie, NFS",-2.7967189832347694,-0.1669138335847186,1
"Fruit smoothie, with whole fruit and dairy",-2.7967189832347694,-0.1669138335847186,1
"Fruit smoothie, with whole fruit and dairy, added protein",-2.237412623796269,0.08519929731151739,1
"Fruit smoothie juice drink, with dairy",-3.3638962616428567,-0.14764785084886015,1
Chocolate milk drink,-3.150964257722082,-0.27113662690836654,1
"Infant formula, NFS",-2.4445896463460968,-0.40383240259224323,1
"Infant formula, Similac, NFS",-2.276792228707903,-0.8190455430424143,1
"Infant formula, Similac Alimentum, ready-to-feed",-1.6783731991330892,-1.7731846874107384,1
"Infant formula, Similac Alimentum, powder, made with water",-1.6783731991330892,-1.7731846874107384,1
"Infant formula, Similac Advance, ready-to-feed",-2.447669135715317,-0.4686069768186032,1
"Infant formula, Similac Advance, powder, made with tap water",-2.436452796254804,-0.46079200555670297,1
"Infant formula, Similac Advance, powder, made with bottled water",-2.4279830718099804,-0.45591680501484066,1
"Infant formula, Similac Advance, powder, made with baby water",-2.447669135715317,-0.4686069768186032,1
"Infant formula, Similac Sensitive, ready-to-feed",-1.7347881559280751,-1.8671472900053685,1
"Infant formula, Similac Sensitive, powder, made with tap water",-1.7244380211237018,-1.8596190937994124,1
"Infant formula, Similac Sensitive, powder, made with bottled water",-1.716498013015742,-1.855153102168155,1
"Infant formula, Similac Sensitive, powder, made with baby water",-1.7347881559280751,-1.8671472900053685,1
"Infant formula, Similac for Spit-Up, ready-to-feed",-1.7569743699444573,-1.8454986786009335,1
"Infant formula, Similac for Spit-Up, powder, made with water",-1.7569743699444573,-1.8454986786009335,1
"Toddler formula, Similac Go and Grow",-2.4335155319458384,-0.2642853254878279,1
"Infant formula, Enfamil, NFS",-2.4409920056311045,-0.3336846947346619,1
"Infant formula, Enfamil Infant, ready-to-feed",-2.4430483457503054,-0.3369293263330496,1
"Infant formula, Enfamil Infant, powder, made with tap water",-2.4313022899529297,-0.328705146160544,1
"Infant formula, Enfamil Infant, powder, made with bottled water",-2.4237230594487498,-0.3245814125866703,1
"Infant formula, Enfamil Infant, powder, made with baby water",-2.4430483457503054,-0.3369293263330496,1
"Infant formula, Enfamil AR, ready-to-feed",-2.51305546433129,-0.3163921336472876,1
"Infant formula, Enfamil AR, powder, made with water",-2.51305546433129,-0.3163921336472876,1
"Infant formula, Enfamil Gentlease, ready-to-feed",-2.450860120564314,-0.3478935295730747,1
"Infant formula, Enfamil Gentlease, powder, made with tap water",-2.439114064766938,-0.3396693494005693,1
"Infant formula, Enfamil Gentlease, powder, made with bottled water",-2.4315348342627585,-0.33554561582669534,1
"Infant formula, Enfamil Gentlease, powder, made with baby water",-2.450860120564314,-0.3478935295730747,1
